2020-11-07 15:39:42,922 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-11-07 15:39:44,120 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=13248&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D13248%26register.ip%3D192.168.0.102%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1604734783950&timestamp=1604734783979, dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,177 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,179 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.0.102?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,240 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.0.102/com.limo.common.provider.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,341 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.0.102/com.limo.common.provider.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*, urls: [empty://192.168.0.102/com.limo.common.provider.service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*, empty://192.168.0.102/com.limo.common.provider.service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*, empty://192.168.0.102/com.limo.common.provider.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*, empty://192.168.0.102/com.limo.common.provider.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.common.provider.service.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,342 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.0.102/com.limo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,441 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.0.102/com.limo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.UserService&version=*, urls: [dubbo://192.168.0.102:20080/com.limo.service.UserService?anyhost=true&application=dubbo-provider&dubbo=2.6.2&generic=false&interface=com.limo.service.UserService&methods=selectAll,selectByPrimaryKey&pid=27788&side=provider&timestamp=1604732009187, consumer://192.168.0.102/com.limo.service.UserService?application=dubbo-consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.limo.service.UserService&methods=selectAll,selectByPrimaryKey&pid=24728&side=consumer&timestamp=1604733234566, empty://192.168.0.102/com.limo.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.UserService&version=*, empty://192.168.0.102/com.limo.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,442 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.0.102/com.limo.service.OrderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.OrderService&version=*, dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:44,540 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.0.102/com.limo.service.OrderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.OrderService&version=*, urls: [dubbo://192.168.0.102:20880/com.limo.service.OrderService?anyhost=true&application=dubbo-consumer&dubbo=2.6.2&generic=false&interface=com.limo.service.OrderService&methods=selectList&pid=24728&side=provider&timestamp=1604733235905, empty://192.168.0.102/com.limo.service.OrderService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.OrderService&version=*, empty://192.168.0.102/com.limo.service.OrderService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.OrderService&version=*, empty://192.168.0.102/com.limo.service.OrderService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.limo.service.OrderService&version=*], dubbo version: 2.6.2, current host: 192.168.0.102
2020-11-07 15:39:45,341 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.0.102
